1,1,10
1,2,200
1,3,300
1,4,150
1,5,220
1,6,160
1,7,100
1,8,150
1,9,80
1,10,110
2,1,180
2,2,20
2,3,250
2,4,170
2,5,200
2,6,140
2,7,150
2,8,190
2,9,100
2,10,90
3,1,190
3,2,250
3,3,50
3,4,240
3,5,170
3,6,130
3,7,190
3,8,240
3,9,220
3,10,190
4,1,140
4,2,120
4,3,190
4,4,10
4,5,220
4,6,180
4,7,190
4,8,120
4,9,130
4,10,120
5,1,150
5,2,120
5,3,240
5,4,140
5,5,20
5,6,120
5,7,190
5,8,150
5,9,90
5,10,70
6,1,160
6,2,110
6,3,200
6,4,190
6,5,120
6,6,20
6,7,160
6,8,150
6,9,100
6,10,110
7,1,110
7,2,100
7,3,200
7,4,130
7,5,210
7,6,160
7,7,10
7,8,120
7,9,160
7,10,150
8,1,150
8,2,220
8,3,240
8,4,130
8,5,110
8,6,120
8,7,110
8,8,20
8,9,160
8,10,100
9,1,150
9,2,120
9,3,210
9,4,120
9,5,180
9,6,170
9,7,190
9,8,160
9,9,10
9,10,130
10,1,140
10,2,90
10,3,180
10,4,160
10,5,150
10,6,120
10,7,120
10,8,100
10,9,140
10,10,20
